wife_age,wife_education,husband_education,parity,wife_religion,wife_working,husband_occupation,SOL_index,media_exposure,method
-8,3,4,0,1,0,1,3,0,1
31,3,,2,1,0,3,,,2
47,1,1,7,1,1,2,3,1,1
17,3,,1,1,1,2,,,3
24,3,,0,1,0,2,,,1
46,4,,4,1,1,1,,,2
33,4,4,2,0,0,1,3,0,3
25,2,4,3,1,1,1,3,0,3
43,3,3,6,1,0,3,2,0,2
26,4,,1,0,0,2,,,3
44,4,4,4,0,1,2,3,0,3
33,4,4,5,1,1,1,4,0,3
44,2,3,1,0,1,2,4,0,2
27,4,4,3,1,1,1,3,0,2
45,4,4,3,1,1,1,4,0,3
29,4,4,3,1,1,3,4,0,3
22,2,1,0,1,1,2,2,0,1
37,1,,0,1,1,3,,,1
33,3,3,3,1,1,3,4,0,1
48,4,4,4,0,1,1,4,0,2
21,4,4,1,1,1,1,4,0,2
36,3,4,6,1,1,2,4,0,1
21,2,2,0,0,1,4,4,0,3
35,4,4,2,1,0,1,4,0,3
22,3,3,3,1,1,3,3,0,3
22,2,,2,1,1,3,,,3
21,4,4,1,1,1,1,3,0,2
22,3,3,2,1,1,3,1,0,3
22,1,,2,1,1,3,,,3
27,4,,2,1,1,3,,,3
23,2,4,2,1,1,3,3,0,1
28,2,2,1,1,1,3,2,0,1
49,4,,4,1,1,3,,,1
34,3,4,4,1,1,1,3,0,3
28,3,,3,1,0,2,,,3
30,2,4,3,1,1,3,4,0,2
32,4,,2,1,1,1,,,2
40,3,3,1,0,1,3,4,0,1
41,1,4,5,1,0,2,4,0,3
42,1,3,9,1,1,3,2,1,1
39,4,,1,1,1,1,,,1
26,4,4,1,1,0,2,3,0,2
37,3,3,11,1,1,1,2,0,3
26,3,4,2,1,1,3,3,0,3
45,1,3,1,1,1,2,3,1,1
44,4,,4,1,1,1,,,2
30,1,,5,1,1,2,,,1
25,2,2,1,1,1,3,3,0,3
36,4,4,3,1,1,3,3,0,2
31,1,1,3,1,1,4,2,1,3
36,3,3,2,1,0,2,4,0,1
41,4,4,1,1,1,3,3,0,3
20,3,4,2,1,1,3,3,0,1
32,4,,4,1,1,2,,,2
20,2,,3,1,1,3,,,1
24,3,4,3,1,1,1,4,0,3
29,3,,6,1,1,3,,,3
30,4,,2,1,1,1,,,3
39,4,,3,1,1,2,,,3
42,4,4,5,1,1,1,4,0,2
34,2,4,4,1,1,3,3,0,3
22,2,4,1,1,1,2,4,0,1
39,3,,3,1,1,1,,,1
36,4,,3,0,1,3,,,3
25,4,4,1,1,1,1,4,0,2
47,2,,7,1,1,2,,,2
31,4,,0,0,0,2,,,1
26,2,4,0,1,1,4,1,0,1
37,4,4,7,1,1,1,4,0,2
30,2,,4,1,1,2,,,3
41,4,4,5,1,1,1,4,0,3
21,1,,1,1,0,3,,,1
42,3,,9,1,1,3,,,1
25,1,4,2,1,0,3,3,1,1
24,2,4,1,1,0,4,4,0,1
27,4,4,1,1,0,3,3,0,2
